tweets,attitude,clean_tweets,final_tweets,label
"Free NFT airdrop 👑

Drop your $ETH address to win A Sheikh's NFT worth $500 👑

✅Must Follow 
@CryptoC75184236… https://t.co/oT81TM6ytg",pos,"Free NFT airdrop 👑

Drop your $ETH address to win A Sheikh's NFT worth $500 👑

✅Must Follow 
@CryptoC75184236… https://t.co/oT81TM6ytg",Free NFT airdrop Drop ETH address win A Sheikhs NFT worth Must Follow CryptoC,0
"RT @wcierc20: FIFA has become one of the most-watched eSports in the world.
Ready to take the dive and place a bet? 
WCI the First World Cu…",pos," FIFA has become one of the most-watched eSports in the world.
eady to take the dive and place a bet? 
WCI the First World Cu…",FIFA become one mostwatched eSports worldeady take dive place bet WCI First World Cu,0
@Pons_ETH @the_ape_society @claymates @spacebudzNFT Clays always over deliver and beat the expectations. Great conn… https://t.co/XPqinDBCpS,pos,@Pons_ETH @the_ape_society @claymates @spacebudzNFT Clays always over deliver and beat the expectations. Great conn… https://t.co/XPqinDBCpS,PonsETH theapesociety claymates spacebudzNFT Clays always deliver beat expectation Great conn,0
@NftCreatorLife « Who spilled the milk ? » 0.22 ETH https://t.co/YC7wvfYhRT,pos,@NftCreatorLife « Who spilled the milk ? » 0.22 ETH https://t.co/YC7wvfYh,NftCreatorLife Who spilled milk ETH,0
RT @6avid_eth: I ‘m giving $1500  $ETH  to  15 people who follow and retweet !!💸💸💸,pos, I ‘m giving $1500  $ETH  to  15 people who follow and retweet !!💸💸💸,I giving ETH people follow retweet,0
"RT @PeterKoundev: 🙏THIS IS MY RELIGION🙏

1️⃣ SEX 👩🏻
2️⃣ DRUGS 💊
3️⃣ DRINKS 🥃
4️⃣ FАТ CIGARS 🚬
5️⃣ ROCKEN ROLL EXTREME 🎸
6️⃣ THIS IS ME BAD-…",neg," 🙏THIS IS MYELIGION🙏

1️⃣ SEX 👩🏻
2️⃣ DUGS 💊
3️⃣ DINKS 🥃
4️⃣ FАТ CIGAS 🚬
5️⃣OCKENOLL EXTEME 🎸
6️⃣ THIS IS ME BAD-…",THIS IS MYELIGION SEX DUGS DINKS F CIGAS OCKENOLL EXTEME THIS IS ME BAD,1
"RT @CryptoAgresivoo: 👽 AFIRIX GIVEAWAYS 👽

👽We are giving-away 50$ worth of USDT  

To Enter: 

☑️ RT +  Follow @Afirixcommunity &amp; @CryptoB…",pos," 👽 AFIIX GIVEAWAYS 👽

👽We are giving-away 50$ worth of USDT  

To Enter: 

☑️  +  Follow @Afirixcommunity &amp; @CryptoB…",AFIIX GIVEAWAYS We givingaway worth USDT To Enter Follow Afirixcommunity amp CryptoB,0
"RT @CryptoAgresivoo: 👽 AFIRIX GIVEAWAYS 👽

👽We are giving-away 50$ worth of USDT  

To Enter: 

☑️ RT +  Follow @Afirixcommunity &amp; @CryptoB…",pos," 👽 AFIIX GIVEAWAYS 👽

👽We are giving-away 50$ worth of USDT  

To Enter: 

☑️  +  Follow @Afirixcommunity &amp; @CryptoB…",AFIIX GIVEAWAYS We givingaway worth USDT To Enter Follow Afirixcommunity amp CryptoB,0
"RT @fuhaha7767: 📄 Giving away 3x WL Spots!

Pixseas is a fully *animated pixel* art collection on ETH blockchain created by a doxxed team o…",pos," 📄 Giving away 3x WL Spots!

Pixseas is a fully *animated pixel* art collection on ETH blockchain created by a doxxed team o…",Giving away x WL SpotsPixseas fully animated pixel art collection ETH blockchain created doxxed team,0
"RT @searchfi_eth: 🛸 FREE MINT GIVEAWAY! 🛸 
 
2x Free mint spot for Snegeds
Roadmap: make you money using top stock trading bots, that's it,…",pos," 🛸 FEE MINT GIVEAWAY! 🛸 
 
2x Free mint spot for Snegeds
oadmap: make you money using top stock trading bots, that's it,…",FEE MINT GIVEAWAY x Free mint spot Snegedsoadmap make money using top stock trading bot thats,0
"RT @CryptoNTez: #ETH

First 4h buy from the UCTS since mid-September

Building an LTF bottom structure and now bouncing with some strength…",pos," #ETH

First 4h buy from the UCTS since mid-September

Building an LTF bottom structure and now bouncing with some strength…",h buy UCTS since midSeptemberBuilding LTF bottom structure bouncing strength,0
"Join us at  the Best  Crypto Traders Group🤑💰
Discord 👉

https://t.co/yqcRErreNF
(14 Days Free Trial) 
#BTC #ETH… https://t.co/F2YmgexFIN",pos,"Join us at  the Best  Crypto Traders Group🤑💰
Discord 👉

https://t.co/yqcErreNF
(14 Days Free Trial) 
#BTC #ETH… https://t.co/F2YmgexFIN",Join u Best Crypto Traders GroupDiscord Days Free Trial,0
"RT @what3verman: Anyone want do onboard me to @ThePlagueNFT ? I’ll rock out a killer spaces session multiple times a week. No joke, legit b…",pos," Anyone want do onboard me to @ThePlagueNFT ? I’ll rock out a killer spaces session multiple times a week. No joke, legit b…",Anyone want onboard ThePlagueNFT Ill rock killer space session multiple time week No joke legit b,0
"nyanchantheanon bought Chromie Squiggle #9479 for 11.49 ETH ($15,902) #nyanchantheanon #chromiesquiggle… https://t.co/tM08DnJVuL",pos,"nyanchantheanon bought Chromie Squiggle #9479 for 11.49 ETH ($15,902) #nyanchantheanon #chromiesquiggle… https://t.co/tM08DnJVuL",nyanchantheanon bought Chromie Squiggle ETH,0
"RT @HuobiGlobal: 📺Live &amp; Candydorp #TokenTurns4 : 
The Merge is done. What’s next?

⏰4:30 UTC, Sept 27th

🧑‍🤝‍🧑Guests: @eth_classic, 
@boba…",pos," 📺Live &amp; Candydorp #TokenTurns4 : 
The Merge is done. What’s next?

⏰4:30 UTC, Sept 27th

🧑‍🤝‍🧑Guests: @eth_classic, 
@boba…",Live amp Candydorp The Merge done Whats next UTC Sept thGuests ethclassic boba,0
"$BTC = 20032
$ETH = 1382.79
$BNB = 284.5
$SOL = 34.84
$XMR = 151.41
$DOT = 6.75
$ATOM = 14.24
$NEAR = 3.78
$TRX = 0.060289
$DOGE = 0.062407",pos,"$BTC = 20032
$ETH = 1382.79
$BNB = 284.5
$SOL = 34.84
$XM = 151.41
$DOT = 6.75
$ATOM = 14.24
$NEA = 3.78
$TX = 0.060289
$DOGE = 0.062407",BTC ETH BNB SOL XM DOT ATOM NEA TX DOGE,0
"RT @FluffySquirreIs: 🚨🔥Daily Giveaway🔥🚨

⬇️To win⬇️

1⃣Follow Us  @FluffySquirreIs
2⃣Like &amp; Retweet
3⃣Drop your ETH wallet address

⏰24h (…",pos," 🚨🔥Daily Giveaway🔥🚨

⬇️To win⬇️

1⃣Follow Us  @FluffySquirreIs
2⃣Like &amp;etweet
3⃣Drop your ETH wallet address

⏰24h (…",Daily GiveawayTo winFollow Us FluffySquirreIsLike ampetweetDrop ETH wallet addressh,0
RT @NftAphrodite: Drop your nft for sale ⚡⬇️,pos, Drop your nft for sale ⚡⬇️,Drop nft sale,0
@GALLERY btccom.eth,pos,@GALLEY btccom.eth,GALLEY btccometh,0
@what3verman @ThePlagueNFT @Pons_ETH A message frog Pons https://t.co/bTeX8tjunH,pos,@what3verman @ThePlagueNFT @Pons_ETH A message frog Pons https://t.co/bTeX8tjunH,whatverman ThePlagueNFT PonsETH A message frog Pons,0
"RT @EthStrike: 🎁 #NFTGiveaway Alert 🎁 

I’m teaming up w/ @BloodWarsNFT to giveaway 5x WL Spots! 🎁

To Enter:
1️⃣ Follow @BloodWarsNFT 
2️⃣…",pos," 🎁 #NFTGiveaway Alert 🎁 

I’m teaming up w/ @BloodWarsNFT to giveaway 5x WL Spots! 🎁

To Enter:
1️⃣ Follow @BloodWarsNFT 
2️⃣…",Alert Im teaming w BloodWarsNFT giveaway x WL Spots To Enter Follow BloodWarsNFT,0
"RT @exterminator_gg: Let's get rid of these animals that make a mess !
No more Apes will go to the moon. 🙈🙉🙊
The Exterminator is coming.

🏆…",neg," Let's get rid of these animals that make a mess !
No more Apes will go to the moon. 🙈🙉🙊
The Exterminator is coming.

🏆…",Lets get rid animal make mess No Apes go moon The Exterminator coming,1
"RT @Hayess5178: #OKINAMI On @Uniswap 😳

Just pulled a 2x out of no where😂. This could be just the beginning. Still a baby at 11m Mcap. Stil…",pos," #OKINAMI On @Uniswap 😳

Just pulled a 2x out of no where😂. This could be just the beginning. Still a baby at 11m Mcap. Stil…",On Uniswap Just pulled x This could beginning Still baby Mcap Stil,0
"RT @Llamaverse_: Another Monday - ANOTHER MARKET MONDAY W/ 
@EverSoul_
 !!!!!

Get up to date on everything crypto and see what's been happ…",pos," Another Monday - ANOTHE MAKET MONDAY W/ 
@EverSoul_
 !!!!!

Get up to date on everything crypto and see what's been happ…",Another Monday ANOTHE MAKET MONDAY W EverSoul Get date everything crypto see whats happ,0
"RT @JohnGh87: $ 2,376,720 was raised in 19 mins 🔥🔥
You can clearly see the interest in our project.
Who's excited about #GroveToken 
#Grove…",pos," $ 2,376,720 was raised in 19 mins 🔥🔥
You can clearly see the interest in our project.
Who's excited about #GroveToken 
#Grove…",raised min You clearly see interest projectWhos excited,0
"RT @othiliae_nft: @RoninDaCC ""The Reincarnation"" 

As you took the key, you will travel through time. 
In a chosen time and place, the spid…",pos," @oninDaCC ""The eincarnation"" 

As you took the key, you will travel through time. 
In a chosen time and place, the spid…",oninDaCC The eincarnation As took key travel time In chosen time place spid,0
the best team.. @LunesTooney1 @R_Queen_Eth @pertsevart @GreenishTara @Shugart94px @digitaLAmat @mXc3344 @Mokkun6668 https://t.co/i0sM1c8QNh,pos,the best team.. @LunesTooney1 @_Queen_Eth @pertsevart @GreenishTara @Shugart94px @digitaLAmat @mXc3344 @Mokkun6668 https://t.co/i0sM1c8QNh,best team LunesTooney QueenEth pertsevart GreenishTara Shugartpx digitaLAmat mXc Mokkun,0
"RT @UniversBTS_: [IG] BTS Permission To Dance via Disney Plus Korea

@BTS_twt [+] https://t.co/RGdxwvk9DT",neg," [IG] BTS Permission To Dance via Disney Plus Korea

@BTS_twt [+] https://t.co/Gdxwvk9DT",IG BTS Permission To Dance via Disney Plus KoreaBTStwt,1
"RT @exterminator_gg: Let's get rid of these animals that make a mess !
No more Apes will go to the moon. 🙈🙉🙊
The Exterminator is coming.

🏆…",neg," Let's get rid of these animals that make a mess !
No more Apes will go to the moon. 🙈🙉🙊
The Exterminator is coming.

🏆…",Lets get rid animal make mess No Apes go moon The Exterminator coming,1
"Current #Cardano price Alert: 

#ADA $0.4583 USD
#Bitcoin 2.289372028699324e-05 BTC
#Ethereum 0.0003317528683629519… https://t.co/xXTkP7P02x",pos,"Current #Cardano price Alert: 

#ADA $0.4583 USD
#Bitcoin 2.289372028699324e-05 BTC
#Ethereum 0.0003317528683629519… https://t.co/xXTkP7P02x",Current price Alert e,0
"updated price for $EOS, $ETH, $TRX:

#EOS $1.211 USD
#ETH 0.069012 #BTC
#TRX 4.366e-05 #ETH

I tweet updated prices… https://t.co/VOSmDyA1DJ",pos,"updated price for $EOS, $ETH, $TX:

#EOS $1.211 USD
#ETH 0.069012 #BTC
#TX 4.366e-05 #ETH

I tweet updated prices… https://t.co/VOSmDyA1DJ",updated price EOS ETH e tweet updated price,0
@GokuCalls1000x A community first #ETH token created by #Shiba &amp; #doge whales coming together for the greater good.… https://t.co/YdzIPUisPR,pos,@GokuCalls1000x A community first #ETH token created by #Shiba &amp; #doge whales coming together for the greater good.… https://t.co/YdzIPUisP,GokuCallsx A community first token created amp whale coming together greater good,0
WL Authoorized Agent @shiftxjx @Goxel_ETH @talkaboutdesign @Bolts59 @Thecybersailor @MarketDeclassd @blaire_bee… https://t.co/CuNYGZteDb,pos,WL Authoorized Agent @shiftxjx @Goxel_ETH @talkaboutdesign @Bolts59 @Thecybersailor @MarketDeclassd @blaire_bee… https://t.co/CuNYGZteDb,WL Authoorized Agent shiftxjx GoxelETH talkaboutdesign Bolts Thecybersailor MarketDeclassd blairebee,0
"RT @0xHustler: I’ll pay someone’s rent on 10/1/22 who likes &amp; retweets this tweet within the next 96 hours. Paid in $ETH.

Winner must be f…",pos," I’ll pay someone’s rent on 10/1/22 who likes &amp; retweets this tweet within the next 96 hours. Paid in $ETH.

Winner must be f…",Ill pay someone rent like amp retweets tweet within next hour Paid ETHWinner must f,0
"RT @nergizy32132110: Credit where credit is due...

#thankyoubinance!

Now we get this trending $LUNC to show our appreciation.

Remember..…",neg," Credit where credit is due...

#thankyoubinance!

Now we get this trending $LUNC to show our appreciation.

emember..…",Credit credit get trending LUNC show appreciationemember,1
"Choose the right investment. #Skaflic 

#skaflic #cardano #btc #eth",pos,"Choose the right investment. #Skaflic 

#skaflic #cardano #btc #eth",Choose right investment,0
"RT @Beezee528: When I reached out to @peeps026 I told him my feelings about azuki #6752 . 
When i first saw 6752, he gave me a feeling that…",pos," When I reached out to @peeps026 I told him my feelings about azuki #6752 . 
When i first saw 6752, he gave me a feeling that…",When I reached peep I told feeling azuki When first saw gave feeling,0
"RT @exterminator_gg: Let's get rid of these animals that make a mess !
No more Apes will go to the moon. 🙈🙉🙊
The Exterminator is coming.

🏆…",neg," Let's get rid of these animals that make a mess !
No more Apes will go to the moon. 🙈🙉🙊
The Exterminator is coming.

🏆…",Lets get rid animal make mess No Apes go moon The Exterminator coming,1
Just dumped a bunch of ETH on this pump. Why pump? 👀,pos,Just dumped a bunch of ETH on this pump. Why pump? 👀,Just dumped bunch ETH pump Why pump,0
watch this @MobShinobi @EthMedaverse @BiQunhHng14 @cereal_vitamin @leongsaikit_eth @AryoWidi8 @CorneliusBird5… https://t.co/9JKvGyaGo8,pos,watch this @MobShinobi @EthMedaverse @BiQunhHng14 @cereal_vitamin @leongsaikit_eth @AryoWidi8 @CorneliusBird5… https://t.co/9JKvGyaGo8,watch MobShinobi EthMedaverse BiQunhHng cerealvitamin leongsaikiteth AryoWidi CorneliusBird,0
"RT @TheForeverWar: Sophon is a 3.3K CC0 collection on $ETH.  Mint date is 9/30.  It's a free mint, FCFS, WL only.

👀 Mint Incentives
First…",pos," Sophon is a 3.3K CC0 collection on $ETH.  Mint date is 9/30.  It's a free mint, FCFS, WL only.

👀 Mint Incentives
First…",Sophon K CC collection ETH Mint date Its free mint FCFS WL Mint IncentivesFirst,0
"#BTC ⬆️️ 0.55% to AUD$ 30,986

RSI 3: 😟 Overbought
RSI 14: 😟 Overbought

Trajectory:
$30,041 in 3 days
$31,174 in 1… https://t.co/xeEo6rxmV1",pos,"#BTC ⬆️️ 0.55% to AUD$ 30,986

SI 3: 😟 Overbought
SI 14: 😟 Overbought

Trajectory:
$30,041 in 3 days
$31,174 in 1… https://t.co/xeEo6rxmV1",AUD SI OverboughtSI OverboughtTrajectory day,0
"RT @KarrieRoss: ✳️===
GIVEAWAY to the first 4 comments...
✅ retweet
✅ tag 3 friends
❎ add wallet address ... (not .eth)

L'EGGsacy #2 minti…",pos," ✳️===
GIVEAWAY to the first 4 comments...
✅ retweet
✅ tag 3 friends
❎ add wallet address ... (not .eth)

L'EGGsacy #2 minti…",GIVEAWAY first comment retweet tag friend add wallet address ethLEGGsacy minti,0
"RT @ToybirdsNFT: Minting Thurs Sept 29, 10am EST 1st FREE 2nd 0.019 eth

Enter #ApeList raffle https://t.co/bfpNT5jL1K

Two Top 5 #FreeMint…",pos," Minting Thurs Sept 29, 10am EST 1st FEE 2nd 0.019 eth

Enter #ApeList raffle https://t.co/bfpNT5jL1K

Two Top 5 #FreeMint…",Minting Thurs Sept EST st FEE nd ethEnter raffle Top,0
"RT @RoninDaCC: I wanna buy some art today. 

TEZ preferred so I can buy a bunch, Eth considered. Sol or Cardano if you’ve got the best shit…",pos," I wanna buy some art today. 

TEZ preferred so I can buy a bunch, Eth considered. Sol or Cardano if you’ve got the best shit…",I wanna buy art today TEZ preferred I buy bunch Eth considered Sol Cardano youve got best shit,0
RT @LIPS_JM: anyway park jimin https://t.co/0CYou5lcwr,pos, anyway park jimin https://t.co/0CYou5lcwr,anyway park jimin,0
"#Bitcoin Last Price $20026 #BTC 🚀
Daily Indicators:
•Pivot Fibonacci:
 -Support 1: 19422
 -S2: 18080
 -S3: 15907
 -… https://t.co/Atmr7iHeHF",pos,"#Bitcoin Last Price $20026 #BTC 🚀
Daily Indicators:
•Pivot Fibonacci:
 -Support 1: 19422
 -S2: 18080
 -S3: 15907
 -… https://t.co/Atmr7iHeHF",Last Price Daily IndicatorsPivot Fibonacci Support S S,0
"RT @ehT_Triangles: Lets unite every single soul on web3!!
free Connections, free Opportunities, free Updates, free Community, free Network,…",pos," Lets unite every single soul on web3!!
free Connections, free Opportunities, free Updates, free Community, free Network,…",Lets unite every single soul webfree Connections free Opportunities free Updates free Community free Network,0
"@Hiddensensu If you @Hiddensensu  agree, I will transfer ETH to you first and then can you send me the chip 😊",pos,"@Hiddensensu If you @Hiddensensu  agree, I will transfer ETH to you first and then can you send me the chip 😊",Hiddensensu If Hiddensensu agree I transfer ETH first send chip,0
front of #粉丝 #twitter粉丝  #twitter刷粉  #blockchain #btc #eth比特币 以太坊 #Bitcoin#Binance#web#NFTs#NFT#NFTCommunity#NFTGiv… https://t.co/biDFii4ip5,pos,front of #粉丝 #twitter粉丝  #twitter刷粉  #blockchain #btc #eth比特币 以太坊 #Bitcoin#Binance#web#NFTs#NFT#NFTCommunity#NFTGiv… https://t.co/biDFii4ip5,front,0
"RT @robinn_eth: Robin × OpenTigers #Giveaway 

OpenW NFT Marketplace's first NFT creation, to join, purchase an OpenTiger on the #ETHW chai…",pos," obin × OpenTigers #Giveaway 

OpenW NFT Marketplace's first NFT creation, to join, purchase an OpenTiger on the #ETHW chai…",obin OpenTigers OpenW NFT Marketplaces first NFT creation join purchase OpenTiger chai,0
"RT @exterminator_gg: Let's get rid of these animals that make a mess !
No more Apes will go to the moon. 🙈🙉🙊
The Exterminator is coming.

🏆…",neg," Let's get rid of these animals that make a mess !
No more Apes will go to the moon. 🙈🙉🙊
The Exterminator is coming.

🏆…",Lets get rid animal make mess No Apes go moon The Exterminator coming,1
"RT @khathijashaik21: All Necessary Information About Bitcoin
#cryptocurrency  #Bitcoin #Investment #awareness #technology #internet #transa…",pos," All Necessary Information About Bitcoin
#cryptocurrency  #Bitcoin #Investment #awareness #technology #internet #transa…",All Necessary Information About,0
"RT @duckmfers: #FreeMintAlert #MintingNow 
6969 @duckmfers vibing on #ETH

1. #CC0
2. #FreeMint
3. #UtilityNFT= #NFTCommunity 
4. #ERC721 (…",pos," #FreeMintAlert #MintingNow 
6969 @duckmfers vibing on #ETH

1. #CC0
2. #FreeMint
3. #UtilityNFT= #NFTCommunity 
4. #EC721 (…",duckmfers vibing,0
"This guy lost 10 ETH and another one lost $1M due to wallet scams/hacks.

And a lot of wallets get hacked everyday.… https://t.co/ePROuFqKk9",neg,"This guy lost 10 ETH and another one lost $1M due to wallet scams/hacks.

And a lot of wallets get hacked everyday.… https://t.co/ePOuFqKk9",This guy lost ETH another one lost M due wallet scamshacksAnd lot wallet get hacked everyday,1
"RT @layer3xyz: ⚡ P O W E R  U P 💥 

Only the true OGs will receive this NFT 🫡

A max of 7,500 will ever be minted...and once they're gone,…",pos," ⚡ P O W E  U P 💥 

Only the true OGs will receive this NFT 🫡

A max of 7,500 will ever be minted...and once they're gone,…",P O W E U P Only true OGs receive NFT A max ever mintedand theyre gone,0
RT @Bodega_Brat: @alexbauer712 Binance has had tokenomics since they launched. The very first crypto asset BTC has tokenomics. Tokenomics a…,pos, @alexbauer712 Binance has had tokenomics since they launched. The very first crypto asset BTC has tokenomics. Tokenomics a…,alexbauer Binance tokenomics since launched The first crypto asset BTC tokenomics Tokenomics,0
whitelisgt Voluntary @eggo_mo @HarryWu030 @Saha1_1saha @cryptobesties_ @Speedy_money01 @mythical_toks @zerepequeno… https://t.co/umTpvEUKwF,pos,whitelisgt Voluntary @eggo_mo @HarryWu030 @Saha1_1saha @cryptobesties_ @Speedy_money01 @mythical_toks @zerepequeno… https://t.co/umTpvEUKwF,whitelisgt Voluntary eggomo HarryWu Sahasaha cryptobesties Speedymoney mythicaltoks zerepequeno,0
"RT @theDEFYNED: Hello @haruNFT_eth   

Portal Access: GRANTED
Message: Welcome to @theUNDEFYNED! 

You can access your Cheat Codes to share…",pos," Hello @haruNFT_eth   

Portal Access: GANTED
Message: Welcome to @theUNDEFYNED! 

You can access your Cheat Codes to share…",Hello haruNFTeth Portal Access GANTEDMessage Welcome theUNDEFYNED You access Cheat Codes share,0
"RT @citadelpm: The PILOT NFT is launching. To celebrate, we are freely distributing our in-game token DRAKMA. Follow, retweet, and drop you…",pos," The PILOT NFT is launching. To celebrate, we are freely distributing our in-game token DAKMA. Follow, retweet, and drop you…",The PILOT NFT launching To celebrate freely distributing ingame token DAKMA Follow retweet drop,0
@JaneidyEve @elonmusk @Tesmanian_com Check out the two images right before the impact! 🙌 https://t.co/LQvX6TXRt2,pos,@JaneidyEve @elonmusk @Tesmanian_com Check out the two images right before the impact! 🙌 https://t.co/LQvX6TXt2,JaneidyEve elonmusk Tesmaniancom Check two image right impact,0
I like this team.. @goboheadTW @domjackson747 @conwaytwittlet @MerveYarm @Meti2019 @sol_438 @HodlLodl… https://t.co/uAFYo3E5lw,pos,I like this team.. @goboheadTW @domjackson747 @conwaytwittlet @MerveYarm @Meti2019 @sol_438 @HodlLodl… https://t.co/uAFYo3E5lw,I like team goboheadTW domjackson conwaytwittlet MerveYarm Meti sol HodlLodl,0
"RT @exterminator_gg: Let's get rid of these animals that make a mess !
No more Apes will go to the moon. 🙈🙉🙊
The Exterminator is coming.

🏆…",neg," Let's get rid of these animals that make a mess !
No more Apes will go to the moon. 🙈🙉🙊
The Exterminator is coming.

🏆…",Lets get rid animal make mess No Apes go moon The Exterminator coming,1
Happy Birthday @scapes_eth! 👏https://t.co/PWaGGd1kzJ #Scapes #NFTs #NFTcommunity,pos,Happy Birthday @scapes_eth! 👏https://t.co/PWaGGd1kzJ #Scapes #NFTs #NFTcommunity,Happy Birthday scapeseth,0
"RT @Nanda__OCE: 🎁@satoshinftclub WHITELIST &amp; ETH GIVEAWAY🎁

🏆20x Whitelist Spots @satoshinftclub🏆
🏆2x $25USD in ETH GA🏆

1️⃣ Follow @satosh…",pos," 🎁@satoshinftclub WHITELIST &amp; ETH GIVEAWAY🎁

🏆20x Whitelist Spots @satoshinftclub🏆
🏆2x $25USD in ETH GA🏆

1️⃣ Follow @satosh…",satoshinftclub WHITELIST amp ETH GIVEAWAYx Whitelist Spots satoshinftclubx USD ETH GA Follow satosh,0
"Because the moon shines in the cryptocurrency sky.
#FATHOM

 #RBX #RBXSamurai #crypto #nft #eth #bnb             … https://t.co/8KtRVVWL8d",pos,"Because the moon shines in the cryptocurrency sky.
#FATHOM

 #BX #BXSamurai #crypto #nft #eth #bnb             … https://t.co/8KtVVWL8d",Because moon shine cryptocurrency,0
"RT @NeeseForOK5: 🎁 HYPED NFT #WL LAST GIVEAWAY🎁

STAKING WITH REWARDS IN $ETH!
ㅤ
Prizes: 
🏆 10x WARRIOR WL
🏆 1x OG LIST 
(FREE MINT value 0…",pos," 🎁 HYPED NFT #WL LAST GIVEAWAY🎁

STAKING WITHEWADS IN $ETH!
ㅤ
Prizes: 
🏆 10x WAIO WL
🏆 1x OG LIST 
(FEE MINT value 0…",HYPED NFT LAST GIVEAWAYSTAKING WITHEWADS IN ETHPrizes x WAIO WL x OG LIST FEE MINT value,0
RT @UglyBunnyNFT: 🔥🔥All v1 #UglyBunny #NFTs are on sale $3-5 usd. Make an offer on Opensea or send eth to uglybunny.eth and DM me the ones…,pos, 🔥🔥All v1 #UglyBunny #NFTs are on sale $3-5 usd. Make an offer on Opensea or send eth to uglybunny.eth and DM me the ones…,All v sale usd Make offer Opensea send eth uglybunnyeth DM one,0
"RT @robinn_eth: Robin × OpenTigers #Giveaway 

OpenW NFT Marketplace's first NFT creation, to join, purchase an OpenTiger on the #ETHW chai…",pos," obin × OpenTigers #Giveaway 

OpenW NFT Marketplace's first NFT creation, to join, purchase an OpenTiger on the #ETHW chai…",obin OpenTigers OpenW NFT Marketplaces first NFT creation join purchase OpenTiger chai,0
RT @crypto___btc: @jk_seriouslyjk @Creditor_Bro @CeljayCel @DefiDon_eth @Mashinsky @alex_dyke @otisa502 @ArturMPA @CELCATOFFICIAL @MiaHelio…,pos, @jk_seriouslyjk @Creditor_Bro @CeljayCel @DefiDon_eth @Mashinsky @alex_dyke @otisa502 @ArturMPA @CELCATOFFICIAL @MiaHelio…,jkseriouslyjk CreditorBro CeljayCel DefiDoneth Mashinsky alexdyke otisa ArturMPA CELCATOFFICIAL MiaHelio,0
"RT @0xHustler: I’ll pay someone’s rent on 10/1/22 who likes &amp; retweets this tweet within the next 96 hours. Paid in $ETH.

Winner must be f…",pos," I’ll pay someone’s rent on 10/1/22 who likes &amp; retweets this tweet within the next 96 hours. Paid in $ETH.

Winner must be f…",Ill pay someone rent like amp retweets tweet within next hour Paid ETHWinner must f,0
"RT @exterminator_gg: Let's get rid of these animals that make a mess !
No more Apes will go to the moon. 🙈🙉🙊
The Exterminator is coming.

🏆…",neg," Let's get rid of these animals that make a mess !
No more Apes will go to the moon. 🙈🙉🙊
The Exterminator is coming.

🏆…",Lets get rid animal make mess No Apes go moon The Exterminator coming,1
"RT @CryptoHallmark: DAILY #Crypto MARKET UPDATE: 26th September 2022⚡️

Top #Gainers:: $LUNC $LUNA $USTC $MIOTA $BSV

New #ATH:: $POLYX $BF…",pos," DAILY #Crypto MAKET UPDATE: 26th September 2022⚡️

Top #Gainers:: $LUNC $LUNA $USTC $MIOTA $BSV

New #ATH:: $POLYX $BF…",DAILY MAKET UPDATE th September Top LUNC LUNA USTC MIOTA BSVNew POLYX BF,0
"@espay_eth @MARSWAWA1 @huoshanNFT A huge thank you!
@jingxie41813176

@changzhe0418

@bfD22nSMTJmlGjw",pos,"@espay_eth @MASWAWA1 @huoshanNFT A huge thank you!
@jingxie41813176

@changzhe0418

@bfD22nSMTJmlGjw",espayeth MASWAWA huoshanNFT A huge thank youjingxiechangzhebfDnSMTJmlGjw,0
"RT @ToybirdsNFT: Minting Thurs Sept 29, 10am EST 1st FREE 2nd 0.019 eth

Enter #ApeList raffle https://t.co/bfpNT5jL1K

Two Top 5 #FreeMint…",pos," Minting Thurs Sept 29, 10am EST 1st FEE 2nd 0.019 eth

Enter #ApeList raffle https://t.co/bfpNT5jL1K

Two Top 5 #FreeMint…",Minting Thurs Sept EST st FEE nd ethEnter raffle Top,0
@AppliedPrimate We like the lab! 🧪 🥼 🦍 https://t.co/E0xn9tW6Bq,pos,@AppliedPrimate We like the lab! 🧪 🥼 🦍 https://t.co/E0xn9tW6Bq,AppliedPrimate We like lab,0
you can claim just test.. @ball_eric @Lovely_Queen11 @jogi_wala @Sangho_eth @Jessicashen6699 @TL0723 @runitdmc… https://t.co/DLZYKRu7Fr,pos,you can claim just test.. @ball_eric @Lovely_Queen11 @jogi_wala @Sangho_eth @Jessicashen6699 @TL0723 @runitdmc… https://t.co/DLZYKu7Fr,claim test balleric LovelyQueen jogiwala Sanghoeth Jessicashen TL runitdmc,0
"@robinn_eth @OpenTigersNFT Very well, I hope I can receive your luck.

0xEcf990ceccD33a03518F12864f4A76ee05999999",pos,"@robinn_eth @OpenTigersNFT Very well, I hope I can receive your luck.

0xEcf990ceccD33a03518F12864f4A76ee05999999",robinneth OpenTigersNFT Very well I hope I receive luckxEcfceccDaFfAee,0
"@RoninDaCC Hi dear,
Here's some of my artworks on objkt and KO

(LEFT) Mary The Reaper of The Black Sea

11/13 ed
1… https://t.co/iE9xXsYxfO",neg,"@oninDaCC Hi dear,
Here's some of my artworks on objkt and KO

(LEFT) Mary The eaper of The Black Sea

11/13 ed
1… https://t.co/iE9xXsYxfO",oninDaCC Hi dearHeres artwork objkt KOLEFT Mary The eaper The Black Sea ed,1
